area,year,quarter,latitude,longitude,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,nearest_tower_distance_km,tower_count_1km,tower_count_2km,tower_count_5km,visible_tower_count_5km,digital_elevation_model,region_enc,typeOfArea_enc,city_enc,demand_growth_pct,region,typeOfArea,city,block_number,tower_density_ratio,year_trend,area_rolling_d_mbps,area_median_d,area_median_u,area_median_lat,area_test_count,distance_x_density
Abu Baham,2021,2,26.20719851,50.54260254,51.0795,11.0435,18.5,41,0.985405947,0.5,28.5,761,540,7,0,4,1,-0.18974359,Capital Governorate,PPL,Abu Baham,411,0.000656168,1,72.1335,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2021,3,26.20719851,50.54260254,82.547,14.213,29,41,0.985405947,0.5,28.5,761,540,7,0,4,1,-0.18974359,Capital Governorate,PPL,Abu Baham,411,0.000656168,1,80.12275,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2021,4,26.20719851,50.54260254,60.2145,16.474,22.5,41,0.985405947,0.5,28.5,761,540,7,0,4,1,-0.18974359,Capital Governorate,PPL,Abu Baham,411,0.000656168,1,66.81325,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2022,1,26.20719851,50.54260254,61.382,15.6275,25.5,52,0.985405947,0.5,28.5,761,540,7,0,4,1,0.398734177,Capital Governorate,PPL,Abu Baham,411,0.000656168,2,71.38075,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2022,2,26.20719851,50.54260254,124.1425,14.2385,19,36,0.985405947,0.5,28.5,761,540,7,0,4,1,0.398734177,Capital Governorate,PPL,Abu Baham,411,0.000656168,2,60.79825,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2022,3,26.20719851,50.54260254,88.232,15.592,19,102,0.985405947,0.5,28.5,761,540,7,0,4,1,0.398734177,Capital Governorate,PPL,Abu Baham,411,0.000656168,2,92.76225,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2022,4,26.20719851,50.54260254,174.088,20.973,20,31,0.985405947,0.5,28.5,761,540,7,0,4,1,0.398734177,Capital Governorate,PPL,Abu Baham,411,0.000656168,2,106.18725,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2023,1,26.20719851,50.54260254,147.9275,19.749,17,28,0.985405947,0.5,28.5,761,540,7,0,4,1,-0.312217195,Capital Governorate,PPL,Abu Baham,411,0.000656168,3,131.16,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2023,2,26.20719851,50.54260254,81.24,15.081,19.5,27,0.985405947,0.5,28.5,761,540,7,0,4,1,-0.312217195,Capital Governorate,PPL,Abu Baham,411,0.000656168,3,161.00775,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2023,3,26.20719851,50.54260254,123.8005,16.6375,18.5,72,0.985405947,0.5,28.5,761,540,7,0,4,1,-0.312217195,Capital Governorate,PPL,Abu Baham,411,0.000656168,3,114.58375,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2023,4,26.20719851,50.54260254,264.593,26.7745,15.5,25,0.985405947,0.5,28.5,761,540,7,0,4,1,-0.312217195,Capital Governorate,PPL,Abu Baham,411,0.000656168,3,102.52025,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2024,1,26.20719851,50.54260254,141.9665,16.9845,19,31,0.985405947,0.5,28.5,761,540,7,0,4,1,1.769736842,Capital Governorate,PPL,Abu Baham,411,0.000656168,4,194.19675,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2024,2,26.20719851,50.54260254,79.9415,13.558,18.5,17,0.985405947,0.5,28.5,761,540,7,0,4,1,1.769736842,Capital Governorate,PPL,Abu Baham,411,0.000656168,4,203.27975,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2024,3,26.20719851,50.54260254,315.33,32.364,15,364,0.985405947,0.5,28.5,761,540,7,0,4,1,1.769736842,Capital Governorate,PPL,Abu Baham,411,0.000656168,4,110.954,116.48325,15.60975,19,1210,0.001293184
